set,method,metric,n,noBC_mean,noBC_std,BC_mean,BC_std,diff_mean,diff_ci_low,diff_ci_high,p_wilcoxon,p_perm
Left,QDA,Accuracy,50,99.07711791992188,0.620995466917809,98.55984497070312,1.3897526265925162,-0.5172729492187509,-0.7771667480468754,-0.2930572509765632,8.773394621327368e-06,0.0
Big,SVM,IoU,50,32.517286815316496,10.45559924149231,31.48017066937745,9.898775194394993,-1.037116145939048,-1.3344105435940743,-0.7717309312705696,1.412475978790552e-08,0.0
Big,SVM,Dice,50,48.12358864068326,12.372316020022101,47.01022833574705,11.90932166273802,-1.1133603049362013,-1.3994724262823828,-0.8436522233949019,1.3303059412715266e-08,0.0
Big,SVM,Precision,50,42.16243000716843,15.486460488970563,40.19669190288725,14.462913293433004,-1.9657381042811788,-2.5081878547998695,-1.4654551871647765,1.7933063333173613e-08,0.0
Big,SVM,Recall,50,63.681993176814935,12.141667026131518,64.24876459233889,12.144154193420745,0.5667714155239647,0.4016285511906496,0.7378593320789899,1.8197585304111594e-07,0.0
Big,SVM,Accuracy,50,95.01528930664062,8.295769559759995,94.8709716796875,8.180305836477148,-0.144317626953123,-0.23626861572265573,-0.05297698974609055,4.22306957991855e-06,0.002
Big,LightGBM,IoU,50,25.841888858518715,7.704374965581522,25.760331871099563,7.75661122149756,-0.08155698741915302,-0.4520340263526949,0.3108081307714957,0.5336947142111965,0.7061
Big,LightGBM,Dice,50,40.49257277190326,9.658095837955686,40.38124147235954,9.722908930222644,-0.11133129954371945,-0.567799416501873,0.3563255379192676,0.5336947142111965,0.6574
Big,LightGBM,Precision,50,30.33767527834624,9.811002043998906,30.195614675324684,9.82977835881391,-0.14206060302155488,-0.6773120573307909,0.43430877619066,0.5336947142111965,0.6293
Big,LightGBM,Recall,50,66.9182716571932,10.732434366717703,66.96231855500307,10.680249601396243,0.04404689780986637,-0.09138629627403404,0.17710772160658728,0.32806478170083675,0.5488
Big,LightGBM,Accuracy,50,94.24087524414062,6.6950786757710326,94.22232055664062,6.689590877240914,-0.0185546875,-0.08419799804687436,0.04272918701171868,0.3862707203664827,0.5927
Big,KNN,IoU,50,20.484253151723145,6.132963825385153,20.432845350637738,6.13253860203198,-0.05140780108540912,-0.08451452194815426,-0.019376164024611325,0.005773517845892142,0.0033
Big,KNN,Dice,50,33.601548876306246,8.065849684029919,33.53053655133363,8.066231218761317,-0.07101232497262394,-0.11843908750977847,-0.027606526505532678,0.005773517845892142,0.0034
Big,KNN,Precision,50,22.399572737760206,6.894542455280322,22.333658274911656,6.891042849485698,-0.06591446284854655,-0.10965401820710018,-0.025202637752136436,0.007344729714608478,0.0034
Big,KNN,Recall,50,70.99447507817382,7.155971360266195,71.02320064181524,7.130287864083979,0.02872556364142942,0.0018636422803840543,0.05741066364055226,0.05339578044263107,0.0488
Big,KNN,Accuracy,50,92.999267578125,5.1605918771970805,92.98153686523438,5.156820232405917,-0.017730712890626332,-0.030487823486328388,-0.0056457519531289465,0.013055669559414267,0.0077
Big,LDA,IoU,50,36.24956668485354,11.86413611176066,24.95347190913446,8.878256580496638,-11.29609477571908,-13.762283752214874,-8.939130138097466,1.7763568394002505e-14,0.0
Big,LDA,Dice,50,52.089150380309476,13.222127927369593,39.16658765979742,11.154009014099966,-12.922562720512065,-15.640249825865132,-10.349589639530976,1.7763568394002505e-14,0.0
