set,image,method,condition,lam,fold,IoU,Dice,Precision,Recall,Accuracy
Horizontal,031.jpg,SVM,BC,0.955952953394874,0,0.020714598860149057,0.04058842478256201,0.02093950808774651,0.6585365853658537,0.8636627197265625
Horizontal,023.jpg,LightGBM,BC,1.9234880090090036,0,0.022348816827344433,0.04372053150450064,0.022372236979991713,0.9552549427679501,0.387237548828125
Horizontal,024.jpg,LightGBM,BC,2.2910108026470906,0,0.01531267368098277,0.030163464079429197,0.015321188878235859,0.964975845410628,0.21600341796875
Horizontal,028.jpg,LightGBM,BC,0.3719778795901283,0,0.072992700729927,0.1360544217687075,0.2912621359223301,0.08875739644970414,0.9941864013671875
Horizontal,030.jpg,LightGBM,BC,2.4200951184383714,0,0.004464285714285714,0.008888888888888889,0.004464439618023236,0.9923371647509579,0.1186981201171875
Horizontal,031.jpg,LightGBM,BC,0.955952953394874,0,0.013366637413083103,0.026380654186929586,0.013447432762836185,0.6898954703832753,0.7769927978515625
Horizontal,023.jpg,KNN,BC,1.9234880090090036,0,0.023080872913992297,0.045120329242891916,0.023117671261057397,0.9354838709677419,0.4193878173828125
Horizontal,024.jpg,KNN,BC,2.2910108026470906,0,0.01590955806783145,0.031320815797992875,0.01592723680961396,0.9347826086956522,0.26947021484375
Horizontal,028.jpg,KNN,BC,0.3719778795901283,0,0.06418918918918919,0.12063492063492064,0.13013698630136986,0.11242603550295859,0.991546630859375
Horizontal,030.jpg,KNN,BC,2.4200951184383714,0,0.004830279816600313,0.009614120739836635,0.004830735554968487,0.9808429118773946,0.1952056884765625
Horizontal,031.jpg,KNN,BC,0.955952953394874,0,0.010756927235863934,0.021284894411322225,0.010815402038505097,0.6655052264808362,0.7319793701171875
Horizontal,023.jpg,LDA,BC,1.9234880090090036,0,0.02336296481782897,0.045659195458549476,0.02337935700503671,0.9708636836628513,0.404876708984375
Horizontal,024.jpg,LDA,BC,2.2910108026470906,0,0.015713846626709698,0.030941483526875212,0.01571686584944088,0.9879227053140096,0.218170166015625
