set,image,method,condition,lam,IoU,Dice,Precision,Recall,Accuracy
Left,063.jpg,LDA,BC,2.265213313889104,0.45135230066736914,0.6219748305905131,0.4948016942626107,0.8371335504885994,0.976165771484375
Left,063.jpg,QDA,BC,2.265213313889104,0.5591836734693878,0.7172774869109948,0.6479243300052548,0.8032573289902281,0.98516845703125
Left,065.jpg,SVM,noBC,,0.5457818930041153,0.7061564059900166,0.6998680738786279,0.712558764271323,0.9865264892578125
Left,065.jpg,LightGBM,noBC,,0.4544340008173273,0.6248946333239674,0.5371980676328503,0.7468099395567495,0.9796295166015625
Left,065.jpg,KNN,noBC,,0.34890776699029125,0.51731893837157,0.38890767669935744,0.7723304231027536,0.967254638671875
Left,065.jpg,LDA,noBC,,0.5675824175824176,0.7241500175254119,0.7573313782991202,0.6937541974479516,0.9879913330078125
Left,065.jpg,QDA,noBC,,0.572480181200453,0.7281238746849118,0.7849378881987578,0.6789791806581599,0.9884796142578125
Left,065.jpg,SVM,BC,2.47055928292296,0.5341645885286783,0.6963589076723017,0.6748582230623819,0.7192746809939556,0.985748291015625
Left,065.jpg,LightGBM,BC,2.47055928292296,0.4544340008173273,0.6248946333239674,0.5371980676328503,0.7468099395567495,0.9796295166015625
Left,065.jpg,KNN,BC,2.47055928292296,0.3490136570561457,0.5174353205849269,0.38903924221921515,0.7723304231027536,0.9672698974609375
Left,065.jpg,LDA,BC,2.47055928292296,0.33431777909037214,0.5011066843736166,0.3737206999009574,0.7602417730020148,0.965606689453125
Left,065.jpg,QDA,BC,2.47055928292296,0.47305389221556887,0.6422764227642277,0.5657289002557545,0.7427803895231699,0.981201171875
Left,067.jpg,SVM,noBC,,0.4129032258064516,0.5844748858447488,0.6186291739894552,0.5538945712037766,0.9847259521484375
Left,067.jpg,LightGBM,noBC,,0.34901222953904043,0.5174337517433751,0.4646211646837821,0.5837922895357985,0.9788818359375
Left,067.jpg,KNN,noBC,,0.21844273186287536,0.35856052344601963,0.248038624019312,0.6467348544453186,0.9551239013671875
Left,067.jpg,LDA,noBC,,0.4149821640903686,0.5865546218487395,0.6293958521190262,0.5491738788355626,0.9849853515625
Left,067.jpg,QDA,noBC,,0.43413978494623656,0.60543580131209,0.7485515643105446,0.5082612116443745,0.987152099609375
Left,067.jpg,SVM,BC,2.826013743494952,0.4050199657729606,0.5765326837190419,0.5956375838926175,0.5586152635719905,0.9840850830078125
Left,067.jpg,LightGBM,BC,2.826013743494952,0.34901222953904043,0.5174337517433751,0.4646211646837821,0.5837922895357985,0.9788818359375
Left,067.jpg,KNN,BC,2.826013743494952,0.21864181091877496,0.35882867132867136,0.24841149773071106,0.6459480723839497,0.955230712890625
Left,067.jpg,LDA,BC,2.826013743494952,0.16981541802388708,0.2903285687766846,0.18999028182701652,0.6152635719905586,0.9416656494140625
